task_label,task_category,seed,benchmark,mode,variant,parameter_count,trainable_parameter_count,metric_name,metric_value,train_initial_loss,train_final_loss,average_train_step_time_seconds,average_eval_step_time_seconds,lm_loss,answer_loss,sufficiency_loss,tokens_per_second,decode_tokens_per_second,peak_memory_bytes,throughput_per_memory,bank_read_slots,segment_count,block_size,refresh_slots,refresh_enabled,detail_enabled,detail_slots,detail_topk,segment_length,refresh_count,bank_size,upper_layer_only_refresh
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,transformer_full_small,208256,208256,accuracy,0.16145833814516664,5.274060249328613,2.2476160526275635,0.008788899090723135,0.002372621253016405,1.0463030487298965,2.1896857917308807,0.0,485389.79952800256,20199.691006650097,29172224.0,0.016638765680943714,0.0,6.0,8,2,False,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,transformer_full_small,208256,208256,accuracy,0.1302083358168602,5.444739818572998,2.2626712322235107,0.004896839955472387,0.002354373369598761,0.714900553226471,2.0906065106391907,0.0,489150.7342721063,24502.923021299022,29172224.0,0.01676768745064162,0.0,6.0,8,2,False,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,transformer_full_medium,1206272,1206272,accuracy,0.1354166683740914,5.317427158355713,2.203934669494629,0.006373811238639367,0.0028114667220506817,0.7080504223704338,2.0888791978359222,0.0,409655.8575817318,15314.932805220667,52187648.0,0.007849670818308037,0.0,6.0,8,2,False,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,transformer_full_medium,1206272,1206272,accuracy,0.13541667070239782,5.618946075439453,2.2202420234680176,0.006349387561203912,0.002799561756546609,0.5861950218677521,2.0811120867729187,0.0,411393.987996365,17013.265365139756,52187648.0,0.007882976216831327,0.0,6.0,8,2,False,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,transformer_full_large,3583872,3583872,accuracy,0.1354166683740914,5.554366588592529,2.1975717544555664,0.00794298880500719,0.003504291264107451,0.7195375934243202,2.090210974216461,0.0,328676.23169765243,11814.465529934047,95597056.0,0.0034381417739229587,0.0,6.0,8,2,False,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,transformer_full_large,3583872,3583872,accuracy,0.13541667070239782,5.147320747375488,2.2643184661865234,0.00793670571098725,0.0034929462271975353,0.561720110476017,2.081863909959793,0.0,329746.50482719636,13071.596971749004,95597056.0,0.003449337444316239,0.0,6.0,8,2,False,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,refresh_with_sufficiency_small,191680,191680,accuracy,0.08854166977107525,5.8843159675598145,2.168673276901245,0.01652685870746306,0.006593759128008969,1.5944284945726395,2.624216854572296,0.2767545096576214,174693.10987105264,5457.841210080595,24330752.0,0.007179930561581189,10.0,6.0,8,2,True,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,refresh_with_sufficiency_small,191680,191680,accuracy,0.13541667070239782,5.782670974731445,2.116065502166748,0.016426425881218166,0.006590279896045104,0.6565480753779411,2.0542263984680176,0.02936859638430178,174784.82379647027,5634.392747385916,24330752.0,0.007183700026882452,10.0,6.0,8,2,True,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,refresh_with_sufficiency_medium,1140352,1140352,accuracy,0.08854166977107525,5.737940788269043,2.111865758895874,0.02402915300723786,0.009486997631029226,1.0578905642032623,2.358936756849289,0.22642867267131805,121420.39575040103,3495.5766224920603,41563648.0,0.002921312290740241,10.0,6.0,8,2,True,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,refresh_with_sufficiency_medium,1140352,1140352,accuracy,0.11979166977107525,6.064638137817383,2.1226630210876465,0.02404008025090055,0.009502214714302681,0.5050452426075935,2.017211213707924,0.01962626469321549,121226.44225334658,3595.4123996630583,41563648.0,0.002916645869326643,10.0,6.0,8,2,True,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,refresh_with_sufficiency_large,3435840,3435840,accuracy,0.15625000465661287,5.429276943206787,2.1081435680389404,0.03193268800484172,0.012272355874301866,0.7452452182769775,2.135476976633072,0.17296194843947887,93864.25480641611,2634.51765031644,80296448.0,0.0011689714444954788,10.0,6.0,8,2,True,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,refresh_with_sufficiency_large,3435840,3435840,accuracy,0.1302083358168602,5.366436004638672,2.139417886734009,0.03181192332995124,0.012293669977225363,0.49502138420939445,2.025537610054016,0.018315286608412862,93701.58799510848,2666.7348042431518,80296448.0,0.001166945616263231,10.0,6.0,8,2,True,False,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,refresh_with_detail_small,208450,208450,accuracy,0.432291679084301,5.81763219833374,1.579770565032959,0.02232280120855042,0.00890051327587571,0.7141716703772545,1.4694367498159409,0.05588558642193675,129420.8160120976,3902.986684250687,25406464.0,0.005094011351288302,10.0,6.0,8,2,True,True,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,refresh_with_detail_small,208450,208450,accuracy,0.6614583618938923,5.815729141235352,1.13278329372406,0.0214457528461935,0.00887656288978178,0.788921907544136,0.943730503320694,0.045596105977892876,129770.33418171763,3910.7807499571045,25406464.0,0.005107768408138875,10.0,6.0,8,2,True,True,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,refresh_with_detail_medium,1206658,1206658,accuracy,0.8385416865348816,5.3660383224487305,0.8297756314277649,0.028576215041296867,0.011933485249755904,0.623475581407547,0.7053494155406952,0.03893688879907131,96529.61275482216,2810.7405328068107,44150784.0,0.0021863623702542212,10.0,6.0,8,2,True,True,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,17,delayed_kv,easy,refresh_with_detail_medium,1206658,1206658,accuracy,0.3281250074505806,5.644969940185547,1.730502963066101,0.02925235719497626,0.011777175997849554,0.5863661840558052,1.550550952553749,0.06382020842283964,97810.65040570474,2812.063777371897,44150784.0,0.002215377430346531,10.0,6.0,8,2,True,True,4,2,8,2,4,True
delayed_kv_short,refresh_friendly,11,delayed_kv,easy,refresh_with_detail_large,3584450,3584450,accuracy,0.31250001303851604,5.425263404846191,1.8766322135925293,0.03701581635298983,0.014669971744297072,0.6680424958467484,1.7212890684604645,0.04497073916718364,78524.33345037895,2182.1582101517556,84868608.0,0.0009252459219123631,10.0,6.0,8,2,True,True,4,2,8,2,4,True
